# ID,X (ft),Y (ft),Z (ft),X (pixel),Y (pixel),Error X (pixel),Error Y (pixel),Tot. Error (pixel),Use in Rectification,Use in Validation
GRP1,271.3617388451443,371.8535990813648,317.0285170603674,904.118,336.733,0,0,0,Yes,No
GRP11,269.8001312335958,374.7463976377952,323.16093832020994,993.794,163.500,0,0,0,Yes,No
GRP12,271.01503608923883,368.8965780839895,320.39262467191594,927.115,213.914,0,0,0,Yes,No
GRP13,269.91906167979,376.81466863517056,319.7400951443569,976.688,302.066,0,0,0,Yes,No
GRP14,287.1703083989501,381.19624999999996,315.90074146981624,284.519,409.542,0,0,0,Yes,No
GRP17,287.65956036745405,385.8170833333333,322.0099540682414,139.870,227.667,0,0,0,y,No
GRP18,291.36543635170597,373.7448851706036,319.98232283464563,244.937,171.799,0,0,0,n,No
GRP2,273.3957742782152,363.6798851706036,316.8782053805774,849.344,265.420,0,0,0,Yes,No
GRP21,292.1188484251968,371.1006889763779,321.7549934383202,314.911,132.318,0,0,0,Yes,No
GRP22,297.3174179790026,349.7241765091863,315.7983595800525,419.394,163.119,0,0,0,No,No
GRP23,300.01823162729653,337.84941601049866,315.8922998687664,455.103,130.563,0,0,0,No,No
GRP25,288.5896489501312,384.11901246719157,319.0682841207349,70.161,314.739,0,0,0,n,No
GRP28,284.50455380577426,383.00574146981626,315.77117782152226,345.933,457.181,0,0,0,Yes,No
GRP5,267.0668700787401,386.6339960629921,316.5772539370078,1126.658,635.448,0,0,0,Yes,No
GRP6,267.66089238845143,384.6563090551181,316.32627952755905,1079.914,588.704,0,0,0,Yes,No
GRP7,268.4440583989501,382.06539370078735,317.2837237532808,1039.544,488.245,0,0,0,Yes,No
GRP8,268.24692585301835,380.9030643044619,325.47112532808393,1215.128,49.916,0,0,0,no,No
r1,0.0,0.0,0.0,720.254,272.028,0,0,0,No,No
r2,0.0,0.0,0.0,353.421,315.691,0,0,0,No,No
